id;pageCat;imageCat;numberCat;"Anzahl der Bände bzw.  ""tomi"" lt. hs. Katalog";"Erschienene Teile insgesamt =  ""comment"" zum Werk";"davon vorhanden = ""comment"" zum Expl. lt. Katalog";titleCat;titleBib;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;contributor5;place1;place2;place3;publisher1;publisher2;publisher3;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
89;15;00022;;;;;fortgeführte Angabe von 85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;16;00023;1;;Teil 1-4;Teil 1;Die Tugend=Schule der Christen, eröffnet durch P. Ives. 1715. I. thl.;Die Tugend-Schule der Christen: Worinnen ein jeder Mensch aufferbaulich unterwiesen wird, wie er pflichtmässig sein Leben anstellen solle / Eröffnet, Durch P. Ives von Paris, Capuciner-Ordens Priestern. Nunmehro aber Auß dem Frantzösischen ins Teutsche übersetzet. ;Yves <de Paris>#119111918m;;;;Sporck, Franz Anton von#118616382m [HERAUSGEBER];;;;;Prag#getty7006464;;;Wickhart, Wolfgang#1037502027m;;;1715;4°;Catalogus II;Theologie;Erbauungsliteratur | Ordensliteratur: Kapuziner;Druck;ger;VD18;90108507;;;;;;;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00066435-7;
91;16;00023;2;;;;Hr. L. v. Seckendorff Historie des Lutherthums und der Reformation. Leipzig 1714.;Herrn Veit Ludewigs von Seckendorff, Ausführliche Historie des Lutherthums, Und der heilsamen Reformation, Welche der theure Martin Luther binnen dreyßig Jahren glücklich ausgeführet: Aus dem Lateinischen ins Deutsche mit allem Fleiß übersetzet, in eine gantz neue bequeme Ordnung gebracht, und mit vielen Anmerckungen, nebst einigen neu eingerückten Documenten, vollständiger Nachricht von denen Wercken des Herrn Lutheri, und einem dreyfachen sehr nützlichen Register...versehen;Seckendorf, Veit Ludwig von#118760343m;;;;Frick, Elias#130640697m [ÜBERSETZER];Besserer, Eitel Albrecht#1031253262m  [Widmungsempfänger ];Schad, Christoph Erhard#103334575Xm [Widmungsempfänger];Neubronner, Lorenz Matthäus#1034342932m [Widmungsempfänger];Besserer, Christoph Heinrich [Widmungsempfänger];Leipzig#getty7139158;;;Gleditsch, Johann Friedrich#104073772m;;;1714;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;ger;GBV;14681245X;;;;;;;;;;;;KEYP http://www.gbv.de/vd/vd17/547BA:1000266V;
92;16;00023;3;;;;Histoire du Concile de Constance par Jaques Lenfant. Amsterd: 1727. Tom: i. ii. in einem Band.;Histoire du Concile de Constance;Lenfant, Jacques#117636290m;;;;;;;;;Amsterdam#getty7006952;;;Humbert, Pierre#1037581601m;;;1727;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;fre;GBV;150644361;;;;;;;;;;;;http://data.onb.ac.at/rep/1041BB80;
93;16;00023;4;;;;Histoire du Concile de Trente de Fra Paolo Sarpi, traduite par Amelot de la Hossaie. Amsterd: 1704.;Histoire du Concile de Trente, de Fra Paolo Sarpi ... Traduite par Mr. Amelot de la Houssaie ... Avec des remarques historiques, politiques, & morales;Sarpi, Paolo#118751336m;;;;Amelot de la Houssaie, Abraham Nicolas#100008569m [ÜBERSETZER];;;;;Amsterdam#getty7006952;;;Blaeu, Joann#1037530373m;Blaeu, Pieter#119225654m;;1704;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;fre;GBV;243806000;;;;;;;;;;;;https://books.google.de/books?id=DB-E4JjRTS4C&hl=de&pg=PP5#v=onepage&q&f=false;
94;16;00023;5;;;;Histoire du Concile de Pisa par Jaq: Lenfant. Amsterd: 1724. Tom: i. ii. uno vol:;"Histoire Du Concile De Pise, Et de ce qui s'est passé de plus mémorable depuis ce Concile jusqu'au Concile de Constance; Enrichie De Portraits";Lenfant, Jacques#117636290m;;;;;;;;;Amsterdam#getty7006952;;;Humbert, Pierre#1037581601m;;;1724;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;fre;GBV;15064440X;;;;;;;;;;;;urn:nbn:de:bvb:12-bsb11345884-7;
95;16;00023;6;2;Teil 1-8;Teil 1-2;Histoire des ordres monastiques, religieux et militaires, à Paris 1714. Tom: i. ii;Histoire Des Ordres Monastiques, Religieux Et Militaires, Et Des Congregations Seculieres de l'un & de l'autre sexe, qui ont esté establies jusqu'à present : Contenant Leur Origine, Leur Fondation, leurs progrès, les évenemens les plus considerables qui y sont arrivés, la decadence des uns et leur suppression, l'agrandissement des autres, par le moïen des differentes reformes qui y ont esté introduites, les vies de leurs fondateurs et de leurs feformateurs, avec des figures qui representent tous les differens habillemens de ces ordres et de ces congregations ;Helyot, Pierre#133229424m;Bullot, Maximilien#1055372733m;;;;;;;;Paris#getty7008038;;;Coignard, Jean-Baptiste#132673487m;;;1714;4°;Catalogus II;Theologie;Abhandlung: hist. | Ordensliteratur;Druck;fre;GBV;241922402;;;;;;;;;;;;urn:nbn:de:bvb:12-bsb10006512-1;
96;17;00024;7;2;Teil 1-2;Teil 1-2;Le nouveau Testament de notre Seigneur  J. C., traduit en francois par Mrs. De Beausobre et Lenfant. Amsterd: 1718. Tom: i. ii.;"Le Nouveau Testament De Notre Seigneur Jésus-Christ: Traduit En François Sur l'Original Grec ; Avec Des Notes Literales, Pour éclaircir le Texte / Par Mrs. De Beausobre Et Lenfant ";;;;;Beausobre, Isaac de#117767980m [HERAUSGEBER];Lenfant, Jacques#117636290m [HERAUSGEBER];;;;Amsterdam#getty7006952;;;Humbert, Pierre#1037581601m;;;1718;4°;Catalogus II;Theologie;Bibel | Kommentar: theol.;Druck;fre;GBV;151025924;;;;;;;;;;;;urn:nbn:de:bvb:12-bsb10224051-0;
97;17;00024;8;;Teil 1-2;Teil 1-2;Christliche Wahrheiten in gegenwart Ihro Röm. Kayserl: Majestäten vorgetragen von F. X. Brean. Wien 1734. 1ter u 2ter theil;Christliche Warheiten, In Gegenwart Ihro Römisch- Kayserlich- und Königlich- Katholischen Majestäten, und Dero Hof-Staat: In offentlicher Predig[!] vorgetragen / Von Francisco Xaverio Brean, der Gesellschafft Jesu Priestern ;Brean, Franz Xaver#100054625m;;;;;;;;;Wien#getty7003321;;;Kurzböck, Gregor#1037587502m;;;1734;4°;Catalogus II;Theologie;Predigtsammlung;Druck;ger;GBV;151771995;;;;;;;;;;;;https://books.google.de/books?id=83dlAAAAcAAJ&hl=de&pg=PP7#v=onepage&q&f=false;
98;17;00024;9;;Teil 1-2;Teil 2;item der 2te theil noch ein mahl.;Christliche Warheiten, In Gegenwart Ihro Römisch- Kayserlich- und Königlich- Katholischen Majestäten, und Dero Hof-Staat: In offentlicher Predig[!] vorgetragen / Von Francisco Xaverio Brean, der Gesellschafft Jesu Priestern. Zweyter Theil: Welcher die Erklär- und Anmerckungen, über die sonntägliche Evangelien des Jahrs enthaltet;Brean, Franz Xaver#100054625m;;;;;;;;;Wien#getty7003321;;;Kurzböck, Gregor#1037587502m;;;1734;4°;Catalogus II;Theologie;Predigtsammlung;Druck;ger;GBV;151772002;;;;;;;;;;;nicht im angegeben Format nachweisbar;https://books.google.de/books?id=CXhlAAAAcAAJ&hl=de&pg=PP7#v=onepage&q&f=false;
99;17;00024;10;;;;Traite de l'etude des conciles et de leurs  collections. à Paris 1724.;Traité De L'Étude Des Conciles, Et De Leurs Collections, Divisé En Trois Parties: Avec Un Catalogue Des Principaux Auteurs qui en out traité, & des Eclaircissemens sur les Ouvrages qui concernent cette matiere, & sur le choix de leurs Editios;Salmon, François#150404859m;;;;;;;;;Paris#getty7008038;;;Cailleau, André#1037567196m;;;1724;4°;Catalogus II;Theologie;Abhandlung: theol.;Druck;fre;GBV;150404859;;;;;;;;;;;;https://books.google.de/books?id=Ej_xEOZKUx0C&newbks=1&newbks_redir=0&hl=de&pg=PR1#v=onepage&q&f=false;
100;17;00024;11;;;;"Ebauche de la religion naturelle; par Wollaston. à La Haye 1726.";"Ebauche De La Religion Naturelle: Traduite de L'Anglois; Avec Un Supplement, Et autres Additions considérables / Par M. Wollaston.";Wollaston, William#100483976m;;;;Garrigue, …#1055723048m [ÜBERSETZER];;;;;Den Haag#getty7006810;;;Swart, Johannes#132599848m;;;1726;4°;Catalogus II;Theologie;Traktat;Druck;fre;GBV;134916611;;;;;;;;;;;;https://books.google.ch/books?id=EM4WAAAAQAAJ&hl=de&pg=PR1#v=onepage&q&f=false;
101;17;00024;12;2;Teil 1-2;Teil 1-2;Histoire des Papes a La Haye 1732. Tom: i. ii;Histoire Des Papes, Depuis St. Pierre Jusqu'A Benoit XIII Inclusivement;Bruys, François#100826067m;;;;;;;;;Den Haag#getty7006810;;;Scheurleer, Hendrik#1037561406m;;;1732;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;fre;GBV;151841799;;;;;;;;;;;;https://books.google.de/books?id=190-AAAAcAAJ&hl=de&pg=PR3#v=onepage&q&f=false;
102;18;00025;13;;;;Histoire de la guerre des Hussites et du Concile de Basle. par Jaques Lenfant. a Amsterd: 1731 Tom: i. ii. uno vol:;Histoire De La Guerre Des Hussites Et Du Concile De Basle: Enrichie de Portraits, & de Vignettes à la tête de chaque Livre / Par Jacques Lenfant;Lenfant, Jacques#117636290m;;;;;;;;;Amsterdam#getty7006952;;;Humbert, Pierre#1037581601m ;;;1731;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;fre;GBV;150644442;;;;;;;;;;;;urn:nbn:de:bvb:12-bsb10004990-4;
103;18;00025;14;;;;C. Breithaupts gedancken, wie ein Atheist von der Existentz Gottes u der  Warheit der  heil: Schrifft Zu überheugen. Helmstädt 1732.;Zufällige Gedancken über die Methode, wie Ein Atheist von der Existentz Gottes, und der Warheit der heiligen Schrifft zu überzeugen: kürtzlich entworffen, und allen Liebhabern der wahren Weißheit zu Weitern Nachdencken überlassen / Von Christian Breithaupt, Log. Metaph. & Theol. natur. P.P.O. ;Breithaupt, Christian#21245675m;;;;Ludwig Rudolf <Braunschweig-Lüneburg, Herzog>#124700470m;Christine Luise <Braunschweig-Lüneburg, Herzogin>#119157411w;Schnorr, Paul Deitrich#137233353m [DRUCKER];;;Helmstedtedt#getty7005247;;;Weygand, Christian Friedrich#115606084m;;;1732;4°;Catalogus II;Theologie;Abhandlung: theol.;Druck;ger;GBV;15183119X;Herzog August Bibliothek;M: Te 168;Widmungsempfänger Herzog Ludwig Rudolf und Herzogin Christine Luise;;;;;;;;angegebenes Format nicht identisch mit Nachweis;http://resolver.staatsbibliothek-berlin.de/SBB0000672C00000000;
104;18;00025;15;;;;P. Abraham à S. Clara Abrahamisches Gehab dich wohl. Nürnberg 1729;Abrahamisches Gehab dich wohl! oder Urlaube, Jn diesem End-Wercke seiner Schrifften, Schaue hinein, und lise das, Und mach dir ein Knopf auf die Nas. Dann hierinn wirst du finden, ein Abscheu gegen die Sünden, und in Traurigkeit, eine Gewissens-Freud ... Concepten, Geschichte und Gedichte, wie auch unterschiedliche Discurs, und ein reicher Vorrath von sittlichen Lehr-Puncten ...;Abraham <a Sancta Clara>#11850021Xm;;;;Dehne, Johann Christoph#123097789m;;;;;Nürnberg#getty7004334;;;Lehmann, Georg#134284518m;;;1729;4°;Catalogus II;Theologie;Ordensliteratur: Augustiner-Barfüßer;Druck;ger;VD18;10741747;;;;;;;;;;;;http://nbn-resolving.de/urn:nbn:de:gbv:3:1-433957;
105;18;00025;16;;;;Heinrich Schuberts Zeugniß von der Gnade und wahrheit in Christo Magdeburg 1733.;"Heinrich Schuberts, Predigers zum Heil. Geist in Potsdam, Zeugniß von der Gnade u. Wahrheit in Christo: In einigen Predigten über verschiedene Texte der heiligen Schrifft abgeleget; Nebst Einem Anhange und nöthigen Register.";"Schubert, Heinrich#104146214m 
Schubert, Heinrich";;;;Faber, Christian Leberecht#1037535642m [DRUCKER];;;;;Magdeburg#getty7004456;;;Seidel und Scheidhauer#6146474-0m;;;1733;4°;Catalogus II;Theologie;Predigtsammlung;Druck;ger;GBV;151009023;;;;;;;;;;;Digital Copy von Ausgabe 1754;https://opendata.uni-halle.de//handle/1981185920/40544;
106;18;00025;16[a];;Teil 1-2;Teil 1-2;P. J. Rehtmeyers der Stadt Braunschweig Kirchen historie. Braun=schweig 1707.;"Antiquitates Ecclesiasticae Inclytae Urbis Brunsvigae, Oder: Der berühmten Stadt Braunschweig Kirchen-Historie / Alles aus den Archiven, raren Manuscriptis und andern bewährten Historicis, sam[m]t denen dazu gehörigen Documentis und Schrifften, so in ordentlichen Beylagen verfasset, Mit Fleiß zusammen getragen; Auch mit einer besondern Vorrede (Tit:) Herrn Jo. Andreae Schmidii, Abtens zu Marienthal, SS. Theol. Doct. und Prof. P. Ord. wie auch derselben Facult. Sen. zu Helmstädt versehen, Von Philippo Julio Rehtmeyer, Brunsvic";Rehtmeyer, Philipp Julius#120539101m;;;;Schmidt, Johann Andreas#104138017m [VORREDNER];;;;;Braunschweig#getty7004434;;;Christoph Friedrich Zilliger Witwe & Erben#6146480-6 ;;;1707;4°;Catalogus II;Theologie;Abhandlung: hist.;Druck;ger;VD18;13356747;;;;;;;;;;;Bd. 3-5 unter Titel: Historiae Ecclesiasticae Inclytae Urbis Brunsvigae Pars ... Oder: Der berühmten Stadt Braunschweig Kirchen-Historie;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10005492-8;
107;18;00025;17;;;;Die Psalmen davids nebst ihrer auslegung, von dem Hn.von Sacy ans licht gegeben, nun aber ins teutsche übersetzt. Prag 1713. 1ter u 2ter theil, in einem Bande.;Die Psalmen Davids: Nebst ihrer, Auß den heiligen Vättern und Lehrern der wahren Kirche zusammen gezogenen Außlegung / Anfänglich in Frantzösischer Sprache an das Licht gegeben, Von Dem Herrn De Sacy, P. Nun aber ins Teutsche übersetzt ;;;;;Le Maistre de Sacy, Isaac-Louis#119453142m [ÜBERSETZER];;;;;Prag#getty7006464;;;Wickhart, Wolfgang#1037502027m;;;1713;4°;Catalogus II;Theologie;Psalter | Kommentar: theol.;Druck;ger;GBV;151539995;;;;;;;;;;;itemvolume: 3 Bde, aber hier 2 in einem Band;urn:nbn:de:bvb:12-bsb11116850-1;
108;19;00026;18;;;;J. M. Heineccii abbildung der alten und neuen Griechischen Kirche. Leipzig 1711;"D. Jo. Mich. Heineccii ... Eigentliche und wahrhafftige Abbildung der alten und neuen Griechischen Kirche: Nach ihrer Historie, Glaubens-Lehren und Kirchen-Gebräuchen; in III. Theilen. Nebst einem curieusen Anhange Unterschiedlicher hierzu dienlicher und zum Theil noch ungedruckter Schrifften Gerhardi Titii, Stephani Gerlachii, und anderer mehr / Alles mit höchster Treu und Fleiß abgefasset, auch mit nöthigen Kupfern und Registern versehen ";Heineccius, Johann Michael#116659572m;;;;Bernigeroth, Martin#122027248m;Hoyer, David#124315283m;Titius, Gerhard#117628123m;Gerlach, Stephan#116587512m;Krüger, Johann Gottfried#129117056m [BEITRÄGER];Leipzig#getty7139158;;;Gleditsch, Johann Friedrich#104272724m;;;1711;4°;Catalogus II;Theologie;Chronik;Druck;ger;VD18;11398876;;;;;;;;;;;;urn:nbn:de:bsz:14-db-id3374854619;
109;20;00026;19;;;;Betrachtungen über das Leben, die Lehre, und das Leiden unseres Heylands Jesu Christi d Sebast: Schombogen. Prag 1710.;Andächtige Betrachtungen Uber Das Leben, die Lehre, und das Leyden Unsers Heylands Jesu Christi: Gezogen Auß den vier Evangelisten, und in sich begreiffend eine Außlegung aller heiligen Evangelien, welche durch das gantze Jahr, in der wahren Römisch-Catholischen Apostolischen Kirchen Gottes gelesen werden: nebst beygefügten Seufftzern der bußfertigen, und in der Liebe gegen Gott entzündeten Seele / Verfasset Durch P. Fr. Sebastianum Schambogen, deß Ordens S. Franc: Seraphici der strengen Observantz, der Böhmischen Provintz Priester;Schambogen, Sebastian#122006283m;;;;Sporck, Franz Anton von#118616382m [WIDMUNGSEMPFÄNGER];Forel, Wolfgang#140169431m [ZENSOR];Steiner, Johannes#173552722m [ZENSOR];Mayer von Mayern, Daniel Joseph#172037239m [ZENSOR];Pohl, Philippus#?? [ZENSOR];Prag#getty7006464;;;Wickhart, Wolfgang#1037502027m;;;1710;4°;Catalogus II;Theologie;Erbauungsliteratur;Druck;ger;GBV;151133603;;;;;;;;;;;;https://books.google.de/books?id=1T9dAAAAcAAJ&hl=de&pg=PP5#v=onepage&q&f=false;
110;21;00027;;;;;ohne Einträge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;22;00028;;;;;ohne Einträge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;23;00029;20;;;;Braunschweigisches Gesang buch. Braunschweig 1724.;"Vollständig Braunschweigisches Gesang-Buch: Darin nicht allein alle Des seligen Herrn Lutheri und anderer erleuchteten Männer Geistreiche Kirchen-Gesänge, Sondern auch Viele schöne Lieder, so theils aus andern gezogen, theils auch vorhin nie in Druck gekommen, befindlich sind; Also eingerichtet, Daß es auch in benachbahrten Fürstenthümern bequem zu gebrauchen, Mit bekanten Melodeyen und dreyen nützlichen Registern versehen; Nebst einem andächtigen Gebeht-Büchlein, ... ";Luther, Martin#118575449m;;;;Schmidt, Johann Georg#129243051m [BEITRÄGER];;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1724;8°;Catalogus II;Theologie;Gesangbuch;Druck;ger;GBV;150943342;;;;;;;;;;;digitalcopy Ausgabe 1735;urn:nbn:de:bvb:12-bsb10592101-6;
113;23;00029;21;;;;Gott geheiligte Stunden d Card. de Noailles. 1712;Gott geheiligte Stunden / Vormahls In Frantzösischer Sprache, Durch den Cardinal De Noailles, Ertz-Bischoff zu Pariß ans Licht gegeben, Anjetzo aber In Hoch-Teutsch übersetzet ;Noailles, Louis Antoine de#117035297m;;;;Kraus, Johann Ulrich#100811833m;;;;;s.l.;;;;;;1712;8°;Catalogus II;Theologie;Erbauungsliteratur | Gebetbuch;Druck;ger;VD18;11360313;;;;;;;;;;;;http://digital.slub-dresden.de/id354847864;
114;23;00029;22;;;;item nocheinmahl;Gott geheiligte Stunden / Vormahls In Frantzösischer Sprache, Durch den Cardinal De Noailles, Ertz-Bischoff zu Pariß ans Licht gegeben, Anjetzo aber In Hoch-Teutsch übersetzet ;Noailles, Louis Antoine de#117035297m;;;;Kraus, Johann Ulrich#100811833m;;;;;s.l.;;;;;;1712;8°;Catalogus II;Theologie;Erbauungsliteratur | Gebetbuch;Druck;ger;VD18;11360313;;;;;;;;;;;;http://digital.slub-dresden.de/id354847864;
115;23;00029;23;;;;Die von der Heiligen Seraphischen Jungfrau und Mutter Theresia von Jesu über das Vater unser gemachte Betrachtungen. Prag 1707.;"Die Von der Heiligen Seraphischen Jungfrau und Mutter Theresia von JEsu Uber das Vatter unser gemachte Betrachtungen: Vermehret Mit vielen schönen zur GOtts-Forcht und Tugend antreibenden Betrachtungen, Gemüths-Erhebungen, und Entschlüssen; Eingetheilet In eine Acht-Tägige Andacht / Vormahls in Frantzösischer Sprach beschrieben: Anjetzo aber in die Teusche Sprach übersetzt; Durch eine geistliche Schwester deß Ordens Mariae Verkündigung [Maria Eleonora Cajetana Aloysia Gräfin von Sporck, deß Ordens derer Annunciaten Caelestinen]";Teresa <de Jesús>#118621823w;;;;Sporck, Maria Eleonora Francisca Cajetana Aloysia von#128772964w [ÜBERSETZERIN];Hoffäcker, Johannes Georg#1037643992m [DRUCKER];;;;Prag#getty7006464;;;Hampel, Anna Voršila#1037535480w;;;1707;8°;Catalogus II;Theologie;Kommentar: theol. | Ordensliteratur;Druck;ger;VD18;11622156;;;;;;;;;;;;https://books.google.de/books?id=JkNdAAAAcAAJ&hl=de&pg=PP2#v=onepage&q&f=false;
116;23;00029;24;;;;Christian Specht über Hiob am 29  cap: N 12. 13. bey einweihung des Armen= Waysen= u Wittwenhauses auff der August-Stadt zu Wolffenbüttel. 17. Jan 1704;Die schöne Weide/ damit Hiob die Läm[m]lein Gottes/ nemlich die Armen/ Wittwen/ und Waysen erquicket und erfreuet hat...: Am 17. des Monahts Januarii...1704. Bey solenner Inauguration und Einsegnung des neu-erbaut- und gestiffteten Armen- Waysen- und Wittwen-Hauses auf der Augustus-Stadt Wolffenbüttel zum Heiligen Geist genannt/...vorgetragen / und...zum Druck heraus gegeben von Christian Specht/ Fürstl. Brauns. Lüneburg. Ober-Superintendenten/...auch Abten des Klosters Riddagshausen ;Specht, Christian#120755173m;;;;Anton Ulrich <Braunschweig-Lüneburg, Herzog>#118503472m [WIDMUNGSEMPFÄNGER];Elisabeth Juliane <Braunschweig-Lüneburg, Herzog>104183772w [WIDMUNGSEMPFÄNGERIN];;;;Wolfenbüttel#getty7005253;;;Bartsch, Christian#101308778Xm;;;1704;8°;Catalogus II;Theologie;Gelegenheitsschrift: Einweihung | Predigt;Druck;ger;GBV;233744428;;;;;;;;;;;;;
117;23;00029;25;;;;W. C. Ressen Betrachtung de quatuor novissimis oder 4 letzten dingen. Helmstedt 1732.;Kurtze und einfältige Betrachtung De Quatuor Novissimis Oder Vier letzten Dingen / Welche aus unterschiedenen seiner anvertrauten Gemeinde gehaltenen Predigten und Catechisationen collectiret, und itzo zum unvergeßlichen Andencken durch den Druck communiciret Werner Conrad Reß Past. Uthm. & Zobb. ;Reß, Werner Conrad#112285739Xm;;;;Christine Luise <Braunschweig-Lüneburg, Herzogin>#119157411w [WIDMUNGSEMPFÄNGERIN];;;;;Helmstedt#getty7005247;;;Schnorr, Paul Dietrich#137233353m;;;1732;8°;Catalogus II;Theologie;Predigtsammlung | Erbauungsliteratur;Druck;ger;VD18;12824690;Herzog August Bibliothek;M: Te 1031;Widmungsempfängerin Herzogin Christine Luise;http://diglib.hab.de/drucke/te-1031/start.htm;;;;;;;;;
118;23;00029;26;;;;Lettres et memoires de François de Vargas. Touchant le concile de Trente. Amsterdam 1700.;Lettres et mémoires de François de Vargas, de Pierre de Malvenda, et de quelques évêques d'Espagne, touchant le Concile de Trente. Trad. de l'espagnol, avec des rémarques, par Michel Le Vassor.;Vargas Mejía, Francisco de#124068715m;Malvenda, Pedro da#124061532m;;;Le Vassor, Michel#13584410Xm [ÜBERSETZER];;;;;Amsterdam#getty7006952;;;Brunel, Pierre#1037544129m;;;1700;8°;Catalogus II;Theologie;Briefsammlung;Druck;fre;GBV;150093519;;;;;;;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11286448-7;
119;24;00030;27;;;;Episteln u Evangelia auff alle Sonn= Fest= und Apostel=Tage durchs gantze Jahr. Hannover 1722.;Episteln und Evangelia, auf alle Sonn-, Fest- und Aposteltage durchs gantze Jahr, zur Erbau- und Vermehrung der Andacht, auf Begehren in diese Form gebracht;;;;;;;;;;Hannover#getty7013260;;;Förster, Nikolaus#12938366Xm;;;1722;8°;Catalogus II;Theologie;Erbauungsliteratur;Druck;ger;GBV;151880751;;;;;;;;;;;;;http://diglib.hab.de/drucke/ti-146/start.htm
120;24;00030;28;2;Teil 1-2;Teil 1-2;La religion chretienne demontrée par la resurrection de notre Seigneur Jesu Christ par Homfroi Ditton. Amsterd: 1728. Tom. i. ii;"La Religion Chrétienne Démontrée Par La Resurrection De Notre Seigneur Jesus-Christ; En Trois Parties, Dont la I. expose aux yeux des Déistes les Conséquences d'un Examen negligé; La II. explique la nature & l'obligation de l'Evidence morale, & la III. fournit les Preuves de la Resurrection de notre Sauveur. Avec Un Supplément, Où l'on dévelope les principaux Points de la Religion Naturelle / Par Mr. Homfroi Ditton, En son vivant Maître de l'Ecôle de Mathématique érigée en dernier lieu dans l'Hôpital de Christ, à Londres. Traduit De L'Anglois Par A. D. L. C. ";Ditton, Humphrey#1017730709m;;;;La Chapelle, Armand Boisbeleau de#100170501m;;"
Wetstein, Rudolf#1037537254m [DRUCKER/VERLEGER]";;;Amsterdam#getty7006952;;;Wetstein & Smith#050659677;;;1728;8°;Catalogus II;Theologie;Abhandlung: theol.;Druck;fre;GBV;151071918;;;;;;;;;;;;;
121;24;00030;29;;;;Portrait au naturel des Jesuites et anciens et modernes. amsterdam 1731;"Portrait au naturel des jésuites et anciens et modernes: Ou Image véritable du premier et du dernier siècle de la Société de Jésus; Fin du parallele de la doctrine des payens avec celle des jésuites et de la Bulle Unigenitus.";;;;;;;;;;Amsterdam#getty7006952;;;Potier, Nicolas#1051347823m;;;1731;8°;Catalogus II;Theologie;Ordensliteratur: Jesuiten | Abhandlung: hist.;Druck;fre;GBV;151131910;;;;;;;;;;;;;
122;24;00030;30;;;;M. C. C. Woogs Betrachtungen über unterschiedliche Paßions-Texte. Dresden und Leipzig 1726. in Quart.;Erbauliche Betrachtungen über unterschiedliche Paßions-Texte, welche sowohl in denen...Char-Freytags-Predigten, als auch zu andrer Zeit...vorgetragen worden;Woog, Moritz Carl Christian#100234097m;;;;Boerner, Catharina Elisabeth#1019749253w;;;;;Dresden#getty7004455;Leipzig#getty7139158;;"Zimmermann, Johann Christoph#13867034Xm; Gerlach, Johann Nikolaus#1037499085m";;;1726;4°;Catalogus II;Theologie;Erbauungsliteratur | Predigtsammlung;Druck;ger;VD18;12845787;;;;;;;;;;;"Anmerkung ""in Quart.""";http://diglib.hab.de/drucke/th-2862/start.htm;
123;24;00030;31;4;Teil 1-4;Teil 1-4;Les morales de S. Gregoire Pape sur le Livre de Job. a Lyon 1692. Tom: i. ii. iii. iv.;Les Morales de S. Grégoire Pape sur le livre de Job. Divisées en 35 livres ... trad. en françois.;Gregor <I., Papst>#118541838m;;;;;;;;;Lyon#getty7008772;;;;;;1692;8°;Catalogus II;Theologie;Kommentar: theol.;Druck;lat;GBV;15157698X;;;;;;;;;;;;;
124;25;00031;32;;;;Gott geweihtes Andachts-Opffer. Stuttgart 1706;"Im Nahmen Der Hoch-Heiligen Drey-Einigkeit: Gott-geweyhtes Andachts-Opffer, Darinn eine Gott- gelassene Seele, sich ihrem Jesu täglich, Morgens, Mittags und Abends, In heisser Andachts-Glut, mit Gebett und Liedern, demüthigst aufopffert: Anjetzo mit Christlichen und gottseeligen Buß- Beicht- und Communion-Andachten ...; Auch einem Anhang etlicher Gebett, Lieder ... Und dann Einem Vollständigen Wetter-Büchlein vermehret, Samt einer neuen Vorrede, worinnen sonderheitlich vermeldet, wie der Allerhöchste, dieses Gebett-Buch, so wunderlich erhalten; Dem Allmächtigen ewigen Gott zu Lob ... zusam[m]en getragen, und zum Druck befördert ";Magdalena Sibylla <Württemberg, Herzogin, 1652-1712>#122063317w;;;;Weismann, Erich#118766392;;;;;Stuttgart#getty7004425;;;Metzler, Johann Benedict#118766392m;;;1746;8°;Catalogus II;Theologie;Gebetbuch | Liedersammlung ;Druck;ger;VD18;13041819;;;;;;;;;;;nicht mit angegebener Jahreszahl nachweisbar;http://digital.slub-dresden.de/id424248662;
125;25;00031;33;;Teil 1-2;Teil 1-2;Traite de la verite de la religion Chretienne, tiré du Latin de Mr. J. Alphonse Turettin. à Geneve. 1730.;Traité De La Verité De La Religion Chrétienne / Tiré du Latin de Mr. J. Alphonse Turrettin …;Turrettini, Jean Alphonse#119356023m;;;;Vernet, Jacob#119259028m;;;;;Genf#getty7007279;;;Bousquet, Marc Michel#136952968m;;;1730;8°;Catalogus II;Theologie;Traktat;Druck;fre;GBV;151141614;;;;;;;;;;;;;
