sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
weltwissen45,,,,2V1,"Franc. Phil: Florini Oeconomus prudens, et legalis continuatus. oder grosser Herren Standes, und Adelicher Haus Vater","Francisci Philippi Florini Oeconomvs Prvdens Et Legalis Continvatvs. Oder Grosser Herren Stands Und Adelicher Haus-Vatter ...","Oeconomus prudens et legalis continuatus oder grosser Herren Stands und adelicher Haus-Vatter",,,,,,,,,Nürnberg#getty7004334,,"Riegel, Susanna Magdalena;Adelbulner, Johann Ernst",1719,Folio,,Ökonomie;Landwirtschaft;Pädagogik,,,ger,,,HAB,"M: Oe 2° 12","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:"" (Band 1)”",,,,,,,1,"Buch 1-5 in 2 Bänden",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=184217407,
weltwissen46,,,,1,"Die Gesezmässigkeit der Religions-Versicherung, welche des Herren Erb-Printzens Friederich zu Hessen-Cassel. Durchlaucht nach dero Übertrit zu der Röm: Kirche von sich gestellet","Die Gesetzmäßigkeit der Religions-Versicherung, welche des Herrn Erb-Prinzens Friedrichs zu Hessen-Cassel Hochfürstliche Durchlaucht, nach Dero Uebertritt zu der Römischen Kirche, den 28ten Octobris 1754. von Sich gestellet, gegen die sogenannte Gesetz- und Vernunfft-Schlüsse, nach Anleitung der Göttlichen- Natürlichen- Völker- und Teutschen Reichs-Rechte, der Analogie ähnlicher Fälle, und der Catholischen eigenen Grund-Sätze, erwiesen und vertheidiget","Die Gesetzmäßigkeit der Religions-Versicherung, welche Friedrichs zu Hessen-Cassel Durchlaucht nach Uebertritt zu der Römischen Kirche von sich gestellet, gegen die sogenannte Gesetz- und Vernunfft-Schlüsse erwiesen und vertheidiget",,,,,,,,,,,,1756,Folio,,Theologie;Kirchengeschichte;Rechtswissenschaft,,,ger,VD18,10224513,,,,,,,,,,1,,,,,,
weltwissen47,,,,1,"Concordantz über die ganze Heilige Schrift nach Dolmetschung D. M. Luthers","Concordantz vnd Zeiger Vber die gantze heilige Biblische schrifft deß Alten vnd Neuwen Testaments ...","Concordantz und Zeiger uber die gantze heilige biblische Schrifft deß Alten und Neuwen Testaments",,,,,,,,,"Frankfurt am Main#getty7005293",,"Feyerabend, Hieronymus;Rab, Georg",1571,Folio,,Theologie;Bibelkunde,,,ger,VD16,"G 669",,,,,,,,,,1,"Teil 1-5",,,,,
weltwissen48,,,,4V1,"Les Oeuvres morales, et meslées de Plutargue","Les Œuvres Morales Et Meslées De Plvtarqve","Les oeuvres morales et meslées",,,,,,,,,Paris#getty7008038,,"Robinot, Antoine lI.",1645,Folio,,Philosophie;Literaturgeschichte;Altertumskunde,,,fre,,,HAB,,,,,,,,,1,"4 Teile; 3-4 ist: ""Les Hommes Illvstres Grecs Et Romains ...""",,,,,"Altsignatur: P. I. c. 3-6; Bandbezeichnungen auf den Buchrücken ""Vol: I."", ""Vol: II."", ""Vol: III."", ""Vol: IV."""
weltwissen49,,,,3V1,"Braunschweig-Lüneburgische Chronica von Philip. Julio. Rethmejer","Braunschweig-Lüneburgische Chronica, Oder: Historische Beschreibung der Durchlauchtigsten Herzogen zu Braunschweig und Lüneburg, Wie dieselben anfänglich aus den Fürstlichen Häusern Este und Sachsen ihren Ursprung genommen ...","Braunschweig-Lüneburgische Chronica",,,,,,,,,Braunschweig#getty7004434,,"Detleffsen, Detlef;Keitel, Arnold Jacob",1722,Folio,,Geschichte;Genealogie,,,ger;lat,GBV,"147517958; 147517966; 147517974",,,,,,,,,,1,"Teil 1-3; vermutlich Provenienz ESM: M: Gn 4° 328 (Einband; Titelschild)",,,,,
weltwissen50,,,,1,"L’Imposture de la Marquise Charlotte de Mailly de Nesle, et de son Fils adulterin Maximilien Guillaume Adolphe p.","L'Imposture De La Marqvise Charlotte De Mailly De Nesle Et De Son Fils Adulterin Maximilien Guillaume Adolphe Exposée Aux Yeux Du Public Par Un Grand Nombre De Pieces Avthentiqves","L'imposture de la marquise Charlotte de Mailly de Nesle et de son fils adultérin Maximilien Guillaume Adolphe exposée aux yeux du public par un grand nombre de pièces authentiques",,,,,,,,,Herborn#getty1039554,,"Regelein, Christoph Michael",1756,Folio,,Geschichte,,,fre,,,,"M: Db 2° 35",,,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=14261548X,"Altsignatur: F. d."
weltwissen51,,,,2V1,"Histoire d’Angleterre","Histoire D'Angleterre, D'Escosse, Et D'Irlande ...","Histoire d'Angleterre, d'Escosse et d'Irlande",,,,,,,,,Paris#getty7008038,,"Jolly, Thomas",1666,Folio,,Geschichte,,,fre,,,HAB,"M: Gr 2° 12","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151569258,
weltwissen52,,,,1,"Les Oeuvres de Tacite","Les Oeuvres de C. Tacite","Les oeuvres",,,,,,,,,Paris#getty7008038,,"Dugast, Jacques",1636,Folio,,Geschichte;Altertumskunde,,,fre,,,HAB,"M: Lh 2° 31","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151325782,"Altsignatur: B. d. 5"
weltwissen53,,,,1,"M. Christ. Scrivers Seelen-Schatz","M. Christian Scrivers, Fürstl. Sächs. Ober-Hof-Predigers und Consistorial-Raths zu Qvedlinburg, Seelen-Schatz Darinn Von der menschlichen Seelen hohen Würde, tieffen und kläglichen Sünden-Fall, Busse und Erneuerung durch Christum, ... gehandelt wird ...",Seelen-Schatz,,,,,,,,,Helmstedt#getty7005247,Magdeburg#getty7004456,"Süstermann, Johann Melchior;Seidel, Christoph;Hesse, Heinrich",1704,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 16","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-5; Registerband separat erfasst",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=15137421X,"Altsignatur: F. c. 8; Teil 1-4 in 3., Teil 5 in 2. Auflage"
weltwissen54,,,,2V1,"Heinr. Anselm von Ziegeler Historisches Labyrinth der Zeit","Heinrich Anshelms von Ziegler und Kliphausen, Churfl. Sächsischen Raths und Assessoris des hohen Stiffts Meißen zu Wurtzen Historisches Labyrinth der Zeit, Darinnen Die denckwürdigsten Welt-Händel ...","Historisches Labyrinth der Zeit",,,,,,,,,Leipzig#getty7012329,,"Gleditsch, Johann Friedrich",1701,Folio,,Geschichte;Genealogie,,,ger,VD18,14802503,,,,,,,,,,1,"Teil 1-2; Exemplar mit Provenienz LR",,,,,
weltwissen55,,,,1,"Histoire des Comtes de Poictou p.","Histoire Des Comtes De Poictov, Et Dvcs De Gvyenne","Histoire des comtes de Poictou et ducs de Guyenne",,,,,,,,,Paris#getty7008038,,"Bertault, Robert",1647,Folio,,Geschichte;Genealogie,,,fre;lat,,,HAB,"M: Gk 2° 6","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=15005291X,"Altsignatur: G. b."
weltwissen56,,,,2V1,"Summarien, oder gründtliche Auslegung über die ganze heilige Schrift","Summarien Oder gründliche Auslegung Uber die gantze Heil. Schrifft Alten und Neuen Testaments, Wie auch Uber die so genannten Apocrypha, Samt nützlicher Unterweisung zum heilsamen Gebrauch im Glauben, Leben und Leiden ...","Summarien oder gründliche Auslegung uber die gantze Heil. Schrifft Alten und Neuen Testaments",,,,,,,,,Leipzig#getty7012329,,"Gleditsch, Johann Gottlieb",1721,Folio,,Theologie;Bibelkunde,,,ger,,,HAB,"M: Tc 2° 16","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=356669017,"Altsignatur: N. e. 5-6; Vorbesitz: Rudolf Anton Seidensticker"
weltwissen57,,,,2V1,"Postilla, das ist: Auslegung der Sonntags Evangelien durchs ganze Jahr","Postilla, Das ist: Geistreiche Erklärung Der Evangelischen Texte, durchs gantze Jahr, auff alle Sonn- Hohe- und andere Fest- und Apostel-Tage","Postilla, das ist: geistreiche Erklärung der evangelischen Texte durchs gantze Jahr auff alle Sonn-, Hohe- und andere Fest- und Apostel-Tage",,,,,,,,,"Frankfurt am Main#getty7005293",,"Zunner, Johann David",1675,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 5",,,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=536845786,"Altsignatur: M. e. 4-5"
weltwissen58,,,,1,"Summarjen, und Biblische Auslegung","Summarien Und Biblische Außlegung, Darinnen Nicht allein ein jedes Buch und Capitel der Bibel richtig verfasset und getheilet, sondern auch der Nutz darauß an L. Lehr. B. Besserung. T. Trost. W. Warnung. ... gezeiget ...","Summarien und biblische Außlegung",,,,,,,,,Wolfenbüttel#getty7005253,,"Bißmarck, Kaspar Johann",1681,Folio,,Theologie;Bibelkunde,,,ger,VD17,23:660418D,,,,,,,,,,1,,,,,,
weltwissen59,,,,1,"Histoire du Ministere d’Armand Jeann du Plessis Cardinal Duc de Richelieu","Histoire Dv Ministere D'Armand Iean Dv Plessis Cardinal Dvc De Richeliev, Sovs Le Regne De Lovys Le Ivste, XIII. Dv Nom, Roy De France Et De Navarre","Histoire du Ministère d'Armand Jean Du Plessis, cardinal duc de Richelieu, sous le règne de Louys le Juste",,,,,,,,,Paris#getty7008038,,"Alliot, Gervais",1649,Folio,,Geschichte;Genealogie,,,fre,GBV,22615940X,,,,,,,,,,1,"Exemplar mit Provenienz FA",,,,,
weltwissen60,,,,1,"Fürstliche Leichen Predigt, Parentation, und Carmina auf den Todt Herren August Friederich Herzog zu Braunschweig, und Lüneburg","Himlische Hochzeit-Freude und Ehren-Schmuck Einer Gläubigen mit Gott verlobten Seele","Himlische Hochzeit-Freude und Ehren-Schmuck einer gläubigen mit Gott verlobten Seele",,,,,,,,,Wolfenbüttel#getty7005253,,"Weiß, Paul",1677,Folio,,Theologie,,,ger,VD17,1:023361Q,,,,,,,,,,1,"Enthält 3 Werke; Erscheinungsjahr nach Angabe im Titel",,,,,
weltwissen61,,,,3V1,"Johann Arndts sämtliche Schriften","Des Hoch-Erleuchteten Johann Arndens geistreicher Schriften und Wercke ... Theil","Geistreiche Schriften und Wercke",,,,,,,,,Leipzig#getty7012329,Görlitz#getty7012813,"Marche, Christian Gottfried",1734-1736,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 1","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-3)",,,,,,,1,"Teil 1-3",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150748477,"Altsignatur: L. c. 4-6"
weltwissen62,,,,1,"Arndts Geistreiche Psalmen, und Cathechismus Erklärung","Der gantze Psalter Davids, Des H. Königs und Propheten, In 462. Predigten außgelegt und erklärt ...","Der gantze Psalter Davids, des h. Königs und Propheten, in 462. Predigten außgelegt und erklärt ...",,,,,,,,,"Frankfurt am Main#getty7005293",,"Zunner, Johann David;Görlin, Johann",1701,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 3","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=41246876X,"Altsignatur: L. c. 3"
weltwissen63,,,,2V1,"Justi Gesenii Epistel-Predigten durchs ganze Jahr","Iusti Gesenii SS. Theol: Doctoris. Epistel-Predigten auff die Sonn- Fest- und Apostel-Tage durchs gantze Jahr","Epistel-Predigten auff die Sonn-, Fest- und Apostel-Tage durchs gantze Jahr",,,,,,,,,Braunschweig#getty7004434,,"Zilliger, Christoph Friedrich;Gruber, Kaspar",1671-1672,Folio,,Theologie,,,ger,VD17,"23:658847U; 23:626972N; 23:626975L; 23:626977A",,,,,,,,,,1,"Teil 1-4",,,,,
weltwissen64,,,,1,"Apostolische Schluß-Kette. oder Auslegung der gewöhnlichen Sonn und Fest-Tags Episteln","Apostolische Schluß-Kette, Und Krafft-Kern, Oder Gründliche Auslegung der gewöhnlichen Sonn- und Fest-Tags-Episteln ...","Apostolische Schluß-Kette und Krafft-Kern oder gründliche Auslegung der gewöhnlichen Sonn- und Fest-Tags-Episteln",,,,,,,,,"Frankfurt am Main#getty7005293",,"Wust, Balthasar Christoph",1671,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 11","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=535595476,
weltwissen65,,,,4V1,"Le Monde, ou la Description generale de ses quatre Parties","Le Monde Ou La Description Generale De Ses Qvatre Parties ...","Le monde ou la description générale de ses quatre parties",,,,,,,,,Paris#getty7008038,,"Sonnius, Claude",1637,Folio,,Geographie;Geschichte;Naturwissenschaft;Kulturgeschichte,,,fre,SUDOC,117855871,,,,,,,,,,1,"Teil 1-7; Exemplar mit Provenienz Baudis",,,,,
weltwissen66,,,,1,"Magnalia Dei, das ist: die grossen Thaten Gottes p.","De Jesu, Scripturæ nucleô & medullâ, Magnalia Dei. Das ist: Die grossen Thaten Gottes ...","De Iesu scripturae nucleo et medulla Magnalia Dei, das ist: die grossen Thaten Gottes",,,,,,,,,Leipzig#getty7012329,,"Fritsch, Johann;Johann Bauers Witwe",1678,Folio,,Theologie;Bibelkunde,,,ger,VD17,"547:630982W; 547:630985U",,,,,,,,,,1,"Teil 1-2",,,,,
weltwissen67,,,,1,"Ungarische Chronica","Vngerische Chronica. Das ist Ein grundtliche beschreibung deß aller mächtigsten vnd gewaltigsten Königreichs Vngern ...","Ungerische Chronica, das ist: ein grundtliche Beschreibung deß aller mächtigsten und gewaltigsten Königreichs Ungern",,,,,,,,,"Frankfurt am Main#getty7005293",,"Feyerabend, Sigmund;Schmidt, Peter",1581,Folio,,Geschichte,,,ger,VD16,"B 6598",,,,,,,,,,1,,,,,,
weltwissen68,,,,21V1,"Theatrum Europaeum ... ite Theatri Europaei Jubilaeum","Theatri Evropæi, Das ist: Historischer Chronick, Oder Warhaffter Beschreibung aller fürnehmen und denckwürdigen Geschichten ...","Theatri Europaei, das ist: historischer Chronick oder warhaffter Beschreibung aller fürnehmen und denckwürdigen Geschichten",,,,,,,,,"Frankfurt am Main#getty7005293",,"Merian, Matthaeus;Hoffmann, Wolfgang",1643-1718,Folio,,Geschichte;Kulturgeschichte,,,ger,VD17,"23:301070P; 3:302391E; 23:301077S; 23:301083T; 23:233981T; 23:233992G; 23:234033F; 23:233997V; 23:234048A; 23:234051D; 23:234057Z",HAB,"M: Ge 4° 54","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 12-21)",,,,,,,1,"Teil 1-21; Exemplar A: 70 Hist. 2° ab Teil 5, Exemplar M: Ge 4° 55 und Exemplar Schulenb. Gc 2° teilweise vorhanden",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=535523246,"Bd. 1-11 mit Provenienz FA"
weltwissen69,,,,2V1,"Histoire Romaine depuis la Fondation de Rome","Histoire Romaine, Depvis La Fondation De Rome","Histoire Romaine depuis la fondation de Rome",,,,,,,,,Paris#getty7008038,,"Sonnius, Claude",1638,Folio,,Geschichte;Kulturgeschichte;Altertumskunde,,,fre,,,HAB,"Xd 2° 78","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=140942467,"Altsignatur: L. c. 3-4"
weltwissen70,,,,1,"Chronica Carionis von Anfang der Welt, Bis uff Keyser Carolum den fünften","Chronica Carionis. Von anfang der Welt, bis vff Keiser Carolum den Fünfften","Chronica Carionis von Anfang der Welt bis uff Keiser Carolum den Fünfften",,,,,,,,,Wittenberg#getty7012349,,"Lufft, Hans",1578,Folio,,Geschichte;Chronologie;Kulturgeschichte;Altertumskunde,,,ger,VD16,"M 2729",,,,,,,,,,1,,,,,,
weltwissen71,,,,1,"Das grosse Martyr-Buch, und Kirchen-Historie pp.","Das Grosse Martyr-Buch, und Kirchen-Historien: Worinnen herrliche und in Gottes Wort gegründete Glaubens-Bekäntnissen ... sampt andern denckwürdigen Reden und Thaten vieler heiligen Märtyrer beschrieben werden ...","Das grosse Martyr-Buch und Kirchen-Historien",,,,,,,,,Bremen#getty7005286,,"Brauer, Hermann",1682,Folio,,Theologie;Religionsgeschichte;Kulturgeschichte,,,ger,,,HAB,"M: Tn 2° 6","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=535999380,"Altsignatur: L. e. 14"
weltwissen72,,,,1,"Hell-leuchtender Schrift, und Stern-Himmel oder Biblische Real Concordantz","Hell-leuchtender Schrifft- und Stern-Himmel Oder biblische Real-Concordantz ...","Hell-leuchtender Schrifft- und Stern-Himmel oder biblische Real-Concordantz",,,,,,,,,Leipzig#getty7012329,Stettin#getty7007809,"Gleditsch, Johann Friedrich;Plener, Johann Adam",1706,Folio,,Theologie;Bibelkunde,,,ger,,,HAB,"M: Tb 2° 16",,,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150638183,"Provenienz ESM (einziges Exemplar; Abdruck des entfernten Wappenexlibris und Spuren der ausradierten Altsignatur erhalten; Titelschild)"
weltwissen73,,,,3V1,"Ant: du Verdier Prosopographie ou Description des Hommes illustres","Prosopographie, Ov Description Des Hommes Illvstres, Et Avtres Renommez","Prosopographie ou description des hommes illustres et autres renommés",,,,,,,,,Lyon#getty7008772,,"Frellon, Paul",1604,Folio,,Geschichte;Genealogie,,,fre,,,HAB,"Wt 4° 53","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=139671080,
weltwissen74,,,,1,"Pauli Aemilii, und Arnoldi Ferroni Französische Historien","Paüli Aemilij vnd Arnoldj Ferronj Der Kön. May. in Franckreich, Parlament-Rahts, Frantzösischer vnd anderer Nationen ...","Der Kön. May. in Frankreich Parlament-Rahts frantzösischer und anderer Nationen",,,,,,,,,Basel#getty7007269,,"Henricpetri, Sebastian",1574,Folio,,Geschichte;Genealogie,,,ger,VD16,"ZV 4985",,,,,,,,,,1,"Exemplar vermutlich Provenienz ESM (einziges Exemplar; Titelschild)",,,,,
weltwissen75,,,,1,"Die alten Jüdischen Heiligthümer","Die Alten Jüdischen Heiligthümer, Gottesdienste und Gewohnheiten ...","Die alten jüdischen Heiligthümer, Gottesdienste und Gewohnheiten",,,,,,,,,Hamburg#getty7005289,Rudolstadt#getty7012862,"Liebernickel, Gottfried;Urban, Heinrich",1704,Folio,,Geschichte;Religionsgeschichte;Kulturgeschichte,,,ger,,,HAB,"M: Gv 4° 93","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150370709,"Altsignatur: N. e. 13"
weltwissen76,,,,1,"Inventaire General de l’Histoire de France depuis Pharamond jusques à Present","Inventaire General De L'Histoire De France. Depuis Pharamond iusques à present","Inventaire général de l'histoire de France depuis Pharamond jusques à présent",,,,,,,,,Paris#getty7008038,,"Gasse, Nicolas",1631,Folio,,Geschichte;Genealogie,,,fre,,,HAB,"M: Gk 2° 68","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=232448671,"Altsignatur: L. c. 1"
weltwissen77,,,,1,"Histoire des Martyrs persecutez, et mis à mort pour la Verité de l’Evangile depuis le temps des Apostres jusques à present","Histoire Des Martyrs, Persecvtez Et Mis A mort pour la verité de l’Euangile, depuis le temps des Apostres iusques à present","Histoire des martyrs persecutez et mis à mort pour la vérité de l'Evangile depuis le temps des apostres jusques à présent",,,,,,,,,Genf#getty7007279,,"Marceau, Paul",1608,Folio,,Theologie;Religionsgeschichte;Geschichte,,,fre,,,HAB,"M: Tn 4° 19","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151541027,"Altsignatur: L. c. 5"
weltwissen78,,,,1,"Der Europaeischen Reiche, und Fürstenthümer Historische, und Genealogische Erläuterung","Der Europäischen Reiche Und Fürstenthümer Historische und Genealogische Erläuterung ...","Der europäischen Reiche und Fürstenthümer historische und genealogische Erläuterung",,,,,,,,,Lüneburg#getty7004436,,"Lipper, Johann Georg",1695,Folio,,Geschichte;Genealogie,,,ger,VD17,12:659294A,,,,,,,,,,1,,,,,,
weltwissen79,,,,1,"Theatrum Ceremoniale historico politicum, oder Historisch Politischer Schauplatz aller Ceremonien, welche an Höfen vorkommen p.","Theatrum Ceremoniale Historico-Politicum, Oder Historisch- und Politischer Schau-Platz Aller Ceremonien, Welche bey ... Wahlen und Crönungen ... beobachtet worden ...","Theatrum ceremoniale historico-politicum oder historisch- und politischer Schau-Platz aller Ceremonien ...",,,,,,,,,Leipzig#getty7012329,,"Weidmann, Moritz Georg",1719,Folio,,Geschichte;Kulturgeschichte,,,ger,GBV,136940390,,,,,,,,,,1,"Teil 1 des dreiteiligen Werkes",,,,,
weltwissen80,,,,1,"Kirchen Postilla, das ist Auslegung der Episteln, und Evangelien durchs ganze Jahr","KirchenPostilla das ist: Auslegung der Episteln vnd Euangelien, an Sontagen und fürnemesten Festen, durchs gantze Jar","Kirchenpostilla, das ist Auslegung der Episteln und Evangelien an Sontagen und fürnemesten Festen durchs gantze Jar",,,,,,,,,Wittenberg#getty7012349,,"Lufft, Hans",1575,Folio,,Theologie,,,ger,,,HAB,"M: Li 4° 322","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-3",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151852200,"1-3 in einem Band"
weltwissen81,,,,1,"Papistische Inquisition (Geo: Nigrini) und gülden Flüß der Römischen Kirchen","Papistische Jnquisition vnd gulde[n] Flüs der Römischen Kirchen. Das ist. Historia vnd ankunft der Römischen Kirchen, vnd sonderlich vom Antichristischen wesen","Papistische Inquisition und gulden Flüs der Römischen Kirchen ...",,,,,,,,,Straßburg#getty7012346,,"Jobin, Bernhard",1582,Folio,,Theologie;Kirchengeschichte,,,ger,,,HAB,"A: 193.1 Theol. 2°","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150442718,
weltwissen82,,,,1,"Histoire de Portugal","Histoire De Portvgal, Contenant Les Entreprises, nauigations, & gestes memorables des Portugallois ...","Histoire de Portugal",,,,,,,,,Genf#getty7007279,,"Estienne, François;Chuppin, Antoine",1581,Folio,,Geschichte,,,fre,SUDOC,042750415,,,,,,,,,,1,,,,,,
weltwissen83,,,,1,"Gesnerus redivius, auctus, & emendatus. oder allgemeines Thier-Buch","Gesnerus Redivivus auctus & emendatus. Oder: Allgemeines Thier-Buch, Das ist: Eigentliche und lebendige Abbildung Aller vierfüssigen ... Thieren ...","Redivivus auctus et emendatus oder allgemeines Thier-Buch",,,,,,,,,"Frankfurt am Main#getty7005293",,"Serlin, Wilhelm;Ilßner, Blasius",1669-1670,Folio,,Naturwissenschaft;Zoologie,,,ger,,,HAB,"M: Nh 2° 20",,,,,,,,1,"Teil 1-5",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=091778190,"Altsignatur: M. c. 15; 1-5 in einem Band; Sammelband enthält außerdem: Gesnerus De Serpentibus. Oder Schlangen-Buch (Frankfurt am Main [1671])"
weltwissen84,,,,37V1,"Grosses vollständiges Universal Lexicon aller Wissenschaften, und Künste","Grosses vollständiges Universal Lexicon Aller Wissenschafften und Künste, Welche bißhero durch menschlichen Verstand und Witz erfunden und verbessert worden","Grosses vollständiges Universallexicon aller Wissenschafften und Künste",,,,,,,,,Halle#getty1036898,Leipzig#getty7012329,"Zedler, Johann Heinrich",1732-1750,Folio,,Lexikographie;Wissenschaftskunde;Kunstgeschichte,,,ger,VD18,"10778438 (58 Bände: 1-18, 25-64)",HAB,"M: Ae 65","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 19-24)",,,,,,,1,"Teil 1-64",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=143025201,"1-64 in 37 Bänden"
weltwissen85,,,,1,"Sonn- und Fest-täglicher, wie auch wöchentlicher Kirchen-Redner über die Evangelia, Episteln, und Psalmen","Sonn- und fest-täglicher wie auch wöchentlicher Kirchen-Redner, über die Evangelia, Episteln und Psalmen: Oder Ordentlich- u. erbaulich-eingerichtete völlige Predigten über alle Sonn- u. Festtags-Evangelien","Sonn- und fest-täglicher wie auch wöchentlicher Kirchen-Redner über die Evangelia, Episteln und Psalmen",,,,,,,,,Leipzig#getty7012329,,"Gleditsch, Johann Ludwig;Weidmann, Moritz Georg",1716,Folio,,Theologie,,,ger,,,HAB,"M: Th 4° 19","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151881197,"Altsignatur: II. Pil."
weltwissen86,,,,1,"Emmblematische Fürstellung der heiligen Sonn- und Fest-täglichen Episteln","Heilig-Epistolischer Bericht, Licht, Geleit, und Freud. Das ist: Emblematische Fürstellung, Der Heiligen Sonn- und Festtäglichen Episteln ...","Heilig-epistolischer Bericht, Licht, Geleit und Freud, das ist emblematische Fürstellung der heiligen sonn- und festtäglichen Episteln",,,,,,,,,Nürnberg#getty7004334,,"Endter, Johann Andreas",1663,Folio,,Theologie,,,ger,VD17,23:269038A,,,,,,,,,,1,,,,,,
